"","Country","Year","Nuts2","not_stated","sometimes","total","never","usually","somet_usual"
"351","FR",2021,"FRK2",516.143,2842.112,1848.866,NA,461.448,3303.56
"352","FR",2021,"FRY4",36.348,271.007,204.456,NA,29.037,300.044
"353","FR",2021,"FRK1",93.963,568.178,412.137,NA,59.848,628.026
"354","FR",2021,"FRF3",105.208,824.428,629.979,NA,84.211,908.639
"355","FR",2021,"FRG0",252.838,1613.87,1133.84,NA,217.997,1831.867
"356","FR",2021,"FRY3",NA,65.282,51.525,NA,NA,NA
"357","FR",2021,"FRH0",244.443,1401.385,947.568,NA,204.014,1605.399
"358","FR",2021,"FRF2",73.892,508.391,370.975,NA,61.981,570.372
"359","FR",2021,"FRI1",257.81,1515.301,1051.552,NA,192.493,1707.794
"360","FR",2021,"FRI2",43.508,283.354,199.045,NA,40.248,323.602
"361","FR",2021,"FRI3",116.022,693.48,472.532,NA,102.565,796.045
"362","FR",2021,"FRM0",NA,134.71,106.178,NA,NA,NA
